\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_66.png,0,282,128,84,37,25,0,0,0,0,0,13,8,36,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
bg_search,bg_213.png,0,82,208,415,47,25,0,0,0,49,49,0,0,0,0,0,0
t_search,0,0,99,207,282,47,30,0,0,0,0,0,255,255,255,0,0,0
btn_search,btn_143.png,btn_143_s.png,417,201,136,58,30,0,0,0,0,0,0,0,0,0,0,0
cell,bg_211.png,0,77,268,486,164,35,0,0,0,0,0,0,0,0,0,0,0
t_lv,text_40.png,0,132,381,43,24,40,0,0,0,0,0,0,0,0,0,0,0
lv,0,0,178,381,38,24,40,0,0,0,0,0,0,0,0,0,0,0
icon,bg_115.png,0,107,281,130,130,40,0,0,0,0,0,0,0,0,0,0,0
bg_alias,bg_215.png,0,264,274,294,54,45,0,0,0,32,32,0,0,0,0,0,0
alias,0,0,276,281,255,33,50,0,0,0,0,0,240,240,203,0,0,0
btn_reject,btn_147.png,btn_147_s.png,274,355,125,54,55,0,0,0,54,54,255,255,255,78,65,83
btn_approve,btn_147.png,btn_147_s.png,419,355,125,54,55,0,0,0,54,54,255,255,255,78,65,83
table,0,0,77,268,486,599,75,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_123.png,0,76,830,489,37,80,0,0,0,0,0,0,0,0,0,0,0
