\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_167.png,0,51,80,540,833,20,0,0,0,344,524,0,0,0,0,,0
bg_title,bg_196.png,0,170,55,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,272,72,102,43,30,0,0,0,0,0,255,255,255,57,29,74
btn_back,btn_16.png,btn_16_s.png,536,72,69,80,50,0,0,0,0,0,0,0,0,0,0,0
g_bg,bg_168.png,0,76,141,490,214,30,0,0,0,276,142,0,0,0,0,0,0
g_bg_title,btn_103_s.png,0,83,148,477,63,35,0,0,0,0,0,0,0,0,0,0,0
g_title,0,0,99,162,118,31,40,0,0,0,0,0,243,240,20,0,0,0
g_num,0,0,224,155,58,34,45,0,0,0,0,0,0,0,0,0,0,0
g_table,0,0,96,217,449,128,50,0,0,0,0,0,0,0,0,0,0,0
g_cell,0,0,96,217,449,59,50,0,0,0,0,0,0,0,0,0,0,0
g_icon,bg_131.png,0,96,217,59,59,50,0,0,0,0,0,0,0,0,0,0,0
g_name,0,0,171,230,300,29,55,0,0,0,0,0,255,255,255,0,0,0
tab_table,0,0,79,355,484,52,60,0,0,0,0,0,59,29,102,0,0,0
tab_cell,btn_126.png,btn_126_s.png,79,355,121,52,60,0,0,0,0,0,59,29,102,0,0,0
bg_table,bg_182.png,0,81,410,480,392,65,0,0,0,262,322,0,0,0,0,0,0
table,0,0,90,417,461,361,70,0,0,0,128,128,0,0,0,0,0,0
cell,0,0,90,417,461,91,75,0,0,0,0,0,0,0,0,0,0,0
t_name,0,0,99,431,441,25,80,0,0,0,0,0,170,1,1,0,0,0
t_detail,0,0,99,467,441,25,85,0,0,0,0,0,13,8,36,0,0,0
line,line_4.png,0,91,503,459,4,90,0,0,0,0,0,0,0,0,0,0,0
shader,bg_162.png,0,90,417,461,361,95,0,0,0,128,128,0,0,0,0,0,0
btn_channel,btn_140.png,0,88,807,106,53,115,0,0,0,0,0,255,255,255,57,29,74
bg_input,bg_197.png,0,197,801,353,63,105,0,0,0,63,63,0,0,0,0,0,0
t_input,0,0,217,816,214,29,110,0,0,0,0,0,255,255,255,0,0,0
btn_send,btn_155.png,btn_155_s.png,439,806,106,53,115,0,0,0,0,0,0,0,0,0,0,0
