\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_124.png,0,8,99,623,841,30,0,0,0,448,654,0,0,0,0,0,0
leaf_left_up,bg_74.png,0,0,63,183,139,35,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_83.png,btn_83_s.png,26,105,102,69,40,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_125.png,0,144,66,435,91,40,0,0,0,0,0,0,0,0,0,0,0
title,0,0,211,90,308,35,45,0,0,0,0,0,160,40,15,0,0,0
map,bg_126.png,0,26,172,574,742,25,0,0,0,0,0,0,0,0,0,0,0
bg_map,bg_142.png,0,16,150,604,779,20,0,0,0,0,0,0,0,0,0,0,0
tower1,icon_47.png,0,123,183,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star1,pic_67.png,0,118,312,108,30,35,0,0,0,0,0,0,0,0,0,0,0
tower2,icon_47.png,0,427,234,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star2,pic_67.png,0,422,363,108,30,35,0,0,0,0,0,0,0,0,0,0,0
tower3,icon_47.png,0,203,364,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star3,pic_67.png,0,198,493,108,30,35,0,0,0,0,0,0,0,0,0,0,0
tower4,icon_47.png,0,80,455,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star4,pic_67.png,0,75,584,108,30,35,0,0,0,0,0,0,0,0,0,0,0
tower5,icon_47.png,0,185,571,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star5,pic_67.png,0,180,700,108,30,35,0,0,0,0,0,0,0,0,0,0,0
tower6,icon_47.png,0,375,459,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star6,pic_67.png,0,370,588,108,30,35,0,0,0,0,0,0,0,0,0,0,0
tower7,icon_47.png,0,482,581,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star7,pic_67.png,0,477,710,108,30,35,0,0,0,0,0,0,0,0,0,0,0
tower8,icon_47.png,0,263,622,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star8,pic_67.png,0,258,751,108,30,35,0,0,0,0,0,0,0,0,0,0,0
tower9,icon_47.png,0,364,746,96,141,30,0,0,0,0,0,0,0,0,0,0,0
star9,pic_67.png,0,359,875,108,30,35,0,0,0,0,0,0,0,0,0,0,0
arrow_left,btn_84.png,btn_84_s.png,42,472,57,75,50,0,0,0,0,0,0,0,0,0,0,0
arrow_right,btn_85.png,btn_85_s.png,540,472,57,75,50,0,0,0,0,0,0,0,0,0,0,0
leaf_right_down,bg_129.png,0,530,862,110,98,50,0,0,0,0,0,0,0,0,0,0,0
b1,icon_90.png,icon_90_s.png,255,199,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b1_open,icon_91.png,icon_91_s.png,255,199,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b2,icon_90.png,icon_90_s.png,331,333,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b3,icon_90.png,icon_90_s.png,205,505,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b4,icon_90.png,icon_90_s.png,79,610,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b5,icon_90.png,icon_90_s.png,289,566,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b6,icon_90.png,icon_90_s.png,464,511,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b7,icon_90.png,icon_90_s.png,396,684,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b8,icon_90.png,icon_90_s.png,184,726,86,79,55,0,0,0,0,0,0,0,0,0,0,0
b9,icon_90.png,icon_90_s.png,455,779,86,79,55,0,0,0,0,0,0,0,0,0,0,0
box,icon_92.png,0,517,796,119,111,60,0,0,0,0,0,0,0,0,0,0,0
box_open,icon_92_s.png,0,517,796,119,111,60,0,0,0,0,0,0,0,0,0,0,0
