\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_167.png,0,51,157,540,648,20,0,0,0,344,524,0,0,0,0,,0
bg_title,bg_196.png,0,170,132,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,272,149,102,43,30,0,0,0,0,0,255,255,255,57,29,74
btn_back,btn_16.png,btn_16_s.png,536,149,69,80,30,0,0,0,0,0,0,0,0,0,0,0
tab_table,0,0,79,229,484,52,35,0,0,0,0,0,59,29,102,0,0,0
tab_cell,btn_126.png,btn_126_s.png,79,229,121,52,35,0,0,0,0,0,59,29,102,0,0,0
bg_table,bg_182.png,0,81,284,480,392,40,0,0,0,262,322,0,0,0,0,0,0
table,0,0,90,291,461,361,45,0,0,0,128,128,0,0,0,0,0,0
cell,0,0,90,291,461,91,50,0,0,0,0,0,0,0,0,0,0,0
t_name,0,0,99,305,441,25,55,0,0,0,0,0,170,1,1,0,0,0
t_detail,0,0,99,340,441,25,60,0,0,0,0,0,13,8,36,0,0,0
line,line_4.png,0,91,377,459,4,65,0,0,0,0,0,0,0,0,0,0,0
shader,bg_162.png,0,90,291,461,361,70,0,0,0,128,128,0,0,0,0,0,0
btn_channel,btn_140.png,0,88,689,106,53,85,0,0,0,0,0,255,255,255,57,29,74
bg_input,bg_197.png,0,197,683,353,63,75,0,0,0,63,63,0,0,0,0,0,0
t_input,0,0,210,683,327,63,80,0,0,0,0,0,255,255,255,0,0,0
btn_send,btn_155.png,btn_155_s.png,439,688,106,53,85,0,0,0,0,0,0,0,0,0,0,0
