\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_167.png,0,51,75,540,815,20,0,0,0,344,524,0,0,0,0,,0
bg_title,bg_125.png,0,101,55,435,91,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,243,78,157,38,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,535,67,69,80,30,0,0,0,0,0,0,0,0,0,0,0
cell1,bg_168.png,0,76,156,490,163,35,0,0,0,276,142,0,0,0,0,0,0
cell1_bgtitle,btn_103_s.png,0,83,163,477,63,40,0,0,0,0,0,0,0,0,0,0,0
cell1_title,0,0,99,177,81,30,50,0,0,0,0,0,243,240,221,0,0,0
check,pic_96.png,0,180,166,56,55,55,0,0,0,0,0,96,166,199,0,0,0
gold1,icon_69.png,0,100,235,31,30,60,0,0,0,0,0,0,0,0,0,0,0
n_gold1,0,0,138,235,68,26,60,0,0,0,0,0,0,0,0,0,0,0
crystal1,icon_70.png,0,236,235,37,34,60,0,0,0,0,0,0,0,0,0,0,0
n_crystal1,0,0,276,235,68,26,60,0,0,0,0,0,0,0,0,0,0,0
exp1,text_29.png,0,95,277,56,26,60,0,0,0,0,0,0,0,0,0,0,0
n_exp1,0,0,152,275,68,26,60,0,0,0,0,0,0,0,0,0,0,0
bg_btn_get1,bg_170.png,0,419,250,147,69,70,0,0,0,0,0,0,0,0,0,0,0
btn_get1,btn_110.png,btn_110_s.png,440,252,123,64,75,0,0,0,0,0,0,0,0,0,0,0
gray_get1,btn_113.png,0,440,252,123,64,75,0,0,0,0,0,0,0,0,0,0,0
cell2,bg_168.png,0,76,331,490,237,35,0,0,0,276,142,0,0,0,0,0,0
cell2_bgtitle,btn_103_s.png,0,83,338,477,63,40,0,0,0,0,0,0,0,0,0,0,0
cell2_title,0,0,99,353,81,30,50,0,0,0,0,0,243,240,221,0,0,0
pframe2,pic_97.png,0,98,474,76,78,65,0,0,0,0,0,0,0,0,0,0,0
n_pframe2,0,0,177,496,54,26,70,0,0,0,0,0,0,0,0,0,0,0
cframe2_1,pic_98.png,0,98,474,76,78,65,0,0,0,0,0,0,0,0,0,0,0
cframe2_2,pic_98.png,0,202,474,76,78,65,0,0,0,0,0,0,0,0,0,0,0
cframe2_3,pic_98.png,0,305,474,76,78,65,0,0,0,0,0,0,0,0,0,0,0
bg_btn_get2,bg_170.png,0,419,494,147,69,70,0,0,0,0,0,0,0,0,0,0,0
btn_get2,btn_110.png,btn_110_s.png,440,496,123,64,75,0,0,0,0,0,0,0,0,0,0,0
gray_get2,btn_113.png,0,440,496,123,64,75,0,0,0,0,0,0,0,0,0,0,0
bottom_line,bg_171.png,0,76,811,490,25,80,0,0,0,0,0,0,0,0,0,0,0
table,0,0,76,156,490,681,60,0,0,0,0,0,0,0,0,0,0,0
arrow_down,btn_111.png,btn_111_s.png,289,823,75,57,85,0,0,0,0,0,0,0,0,0,0,0
