\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_24.png,0,255,128,136,37,25,0,0,0,0,0,13,8,36,0,0,0
bg_deck,bg_114.png,0,75,187,490,71,30,0,0,0,0,0,0,0,0,0,0,0
t_deck,0,0,90,200,300,32,35,0,0,0,0,0,34,11,67,0,0,0
table_deck,0,0,86,261,466,252,40,0,0,0,0,0,0,0,0,0,0,0
cell_deck,0,0,86,261,172,252,45,0,0,0,0,0,0,0,0,0,0,0
frame_deck,bg_154.png,0,97,273,148,228,50,0,0,0,0,0,0,0,0,0,0,0
bg_rest,bg_114.png,0,75,520,490,71,55,0,0,0,0,0,0,0,0,0,0,0
t_rest,0,0,90,533,300,32,60,0,0,0,0,0,34,11,67,0,0,0
type_rest,0,0,280,533,103,32,60,0,0,0,0,0,34,11,67,0,0,0
btn_type,btn_98.png,btn_98_s.png,383,522,168,54,65,0,0,0,0,0,0,0,0,0,0,0
table_rest,0,0,86,594,466,252,40,0,0,0,0,0,0,0,0,0,0,0
cell_rest,0,0,86,594,172,252,45,0,0,0,0,0,0,0,0,0,0,0
frame_rest,bg_154.png,0,97,606,148,228,50,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
pbg,bg_121.png,0,48,170,540,607,10,0,0,0,404,260,0,0,0,0,0,0
pbtn_back,btn_16.png,btn_16_s.png,522,165,69,80,15,0,0,0,0,0,0,0,0,0,0,0
ptip,pic_95.png,0,79,202,156,46,20,0,0,0,0,0,0,0,0,0,0,0
pframe,bg_162.png,0,73,265,490,478,25,0,0,0,128,128,0,0,0,0,0,0
pcell,btn_103.png,btn_103_s.png,79,267,477,63,30,0,0,0,0,0,0,0,0,0,0,0
pstr,0,0,98,280,400,28,35,0,0,0,0,0,240,240,203,0,0,0
ptable,0,0,79,267,477,469,35,0,0,0,0,0,0,0,0,0,0,0
