\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,220,540,476,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,215,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,195,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,233,215,166,40,30,0,0,0,0,0,251,252,244,57,29,74
frame,bg_156.png,0,83,304,467,259,25,0,0,0,64,64,0,0,0,0,0,0
t_take,0,0,119,345,57,30,30,0,0,0,0,0,240,240,203,0,0,0
t_crystal,icon_70.png,0,183,345,37,34,35,0,0,0,0,0,0,0,0,0,0,0
bg_n_take,bg_197.png,0,230,329,281,64,40,0,0,0,63,63,0,0,0,0,0,0
n_take,0,0,249,345,237,28,45,0,0,0,0,0,255,255,255,0,0,0
t_get,0,0,119,417,57,30,30,0,0,0,0,0,240,240,203,0,0,0
t_gold,icon_69.png,0,188,418,31,30,30,0,0,0,0,0,0,0,0,0,0,0
bg_n_get,bg_197.png,0,230,401,281,64,40,0,0,0,63,63,0,0,0,0,0,0
n_get,0,0,249,417,237,28,45,0,0,0,0,0,255,255,255,0,0,0
note,pic_103.png,0,191,504,235,36,50,0,0,0,0,0,0,0,0,0,0,0
btn,btn_129.png,btn_129_s.png,188,595,253,60,25,0,0,0,0,0,0,0,0,0,0,0
