\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,107,540,780,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,102,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,82,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,264,101,106,40,30,0,0,0,0,0,251,252,244,57,29,74
btn_add,btn_162.png,btn_162_s.png,73,184,168,54,40,0,0,0,0,0,0,0,0,0,0,0
bg_search,bg_197.png,0,250,179,314,62,40,0,0,0,63,63,0,0,0,0,0,0
t_search,0,0,270,179,157,62,45,0,0,0,0,0,255,255,255,0,0,0
btn_search,btn_156.png,btn_156_s.png,453,186,106,53,50,0,0,0,0,0,0,0,0,0,0,0
cell,bg_168.png,0,71,245,493,198,55,0,0,0,276,142,0,0,0,0,0,0
icon,bg_115.png,0,83,256,130,130,60,0,0,0,0,0,0,0,0,0,0,0
online,0,0,106,390,80,29,65,0,0,0,0,0,26,224,247,0,0,0
offline,0,0,106,390,80,29,65,0,0,0,0,0,100,100,100,0,0,0
bg_alias,bg_156.png,0,219,256,332,55,70,0,0,0,64,64,0,0,0,0,0,0
alias,0,0,231,267,258,27,75,0,0,0,0,0,252,224,113,0,0,0
btn_info,btn_147.png,btn_147_s.png,239,319,128,52,80,0,0,0,54,54,255,255,255,36,69,8
btn_delete,btn_147.png,btn_147_s.png,239,378,128,52,80,0,0,0,54,54,255,255,255,36,69,8
btn_chat,btn_147.png,btn_147_s.png,399,319,128,52,80,0,0,0,54,54,255,255,255,36,69,8
btn_fight,btn_147.png,btn_147_s.png,399,378,128,52,80,0,0,0,54,54,255,255,255,36,69,8
table,0,0,71,245,493,610,90,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_216.png,0,72,824,490,31,95,0,0,0,0,0,0,0,0,0,0,0
