\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_57.png,0,281,129,85,36,25,0,0,0,0,0,13,8,36,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
bg_stone,bg_182.png,0,77,793,484,669,25,0,0,0,262,322,0,0,0,0,0,0
bg_note,bg_205.png,0,87,200,465,192,30,0,0,0,465,155,0,0,0,0,0,0
t_lv,text_40.png,0,99,218,43,24,35,0,0,0,0,0,0,0,0,0,0,0
lv,0,0,148,218,38,26,40,0,0,0,0,0,0,0,0,0,0,0
gname,0,0,205,213,230,29,40,0,0,0,0,0,243,240,221,0,0,0
note,0,0,109,277,416,88,40,0,0,0,0,0,254,248,91,0,0,0
bg_master,bg_212.png,0,94,406,446,54,40,0,0,0,0,0,0,0,0,0,0,0
t_master,text_58.png,0,133,417,58,28,45,0,0,0,0,0,0,0,0,0,0,0
master,0,0,242,417,240,28,45,0,0,0,0,0,248,248,241,0,0,0
bg_num,bg_212.png,0,94,472,446,54,40,0,0,0,0,0,0,0,0,0,0,0
t_num,text_59.png,0,130,484,61,27,45,0,0,0,0,0,0,0,0,0,0,0
num,0,0,242,484,145,29,45,0,0,0,0,0,0,0,0,0,0,0
bg_fund,bg_212.png,0,94,539,446,54,40,0,0,0,0,0,0,0,0,0,0,0
t_fund,text_60.png,0,131,550,60,28,45,0,0,0,0,0,0,0,0,0,0,0
gold,icon_69.png,0,240,552,31,30,45,0,0,0,0,0,0,0,0,0,0,0
n_gold,0,0,279,551,106,30,50,0,0,0,0,0,0,0,0,0,0,0
crystal,icon_70.png,0,390,550,37,34,45,0,0,0,0,0,0,0,0,0,0,0
n_crystal,0,0,430,551,69,30,50,0,0,0,0,0,0,0,0,0,0,0
btn_member,btn_142.png,btn_142_s.png,89,611,148,54,55,0,0,0,0,0,255,255,255,36,69,8
btn_stock,btn_142.png,btn_142_s.png,246,611,148,54,55,0,0,0,0,0,255,255,255,36,69,8
btn_invest,btn_142.png,btn_142_s.png,401,611,148,54,55,0,0,0,0,0,255,255,255,36,69,8
btn_list,btn_142.png,btn_142_s.png,89,687,148,54,55,0,0,0,0,0,255,255,255,36,69,8
btn_dismiss,btn_142.png,btn_142_s.png,246,687,148,54,55,0,0,0,0,0,255,255,255,36,69,8
btn_apply,btn_142.png,btn_142_s.png,401,687,148,54,55,0,0,0,0,0,255,255,255,36,69,8
btn_upgrade,btn_142.png,btn_142_s.png,246,763,148,54,55,0,0,0,0,0,255,255,255,36,69,8
