\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,220,540,476,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,215,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,195,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,241,209,153,46,30,0,0,0,0,0,251,252,244,57,29,74
frame,bg_156.png,0,83,304,467,260,35,0,0,0,64,64,0,0,0,0,0,0
t_need,0,0,128,339,116,36,40,0,0,0,0,0,240,240,203,0,0,0
gold,icon_69.png,0,285,346,31,30,40,0,0,0,0,0,0,0,0,0,0,0
n_gold,0,0,327,339,195,37,45,0,0,0,0,0,0,0,0,0,0,0
t_guildlv,0,0,128,412,116,36,40,0,0,0,0,0,240,240,203,0,0,0
glv_1,0,0,285,409,28,37,45,0,0,0,0,0,0,0,0,0,0,0
arrow_glv,pic_104.png,0,315,422,48,24,50,0,0,0,0,0,0,0,0,0,0,0
glv_2,0,0,370,412,28,37,50,0,0,0,0,0,0,0,0,0,0,0
t_num,0,0,128,478,116,36,50,0,0,0,0,0,240,240,203,0,0,0
num_1,0,0,284,478,46,37,55,0,0,0,0,0,0,0,0,0,0,0
arrow_num,pic_104.png,0,336,486,48,24,50,0,0,0,0,0,0,0,0,0,0,0
num_2,0,0,391,478,46,37,50,0,0,0,0,0,0,0,0,0,0,0
btn_confirm,btn_122.png,btn_122_s.png,359,587,128,60,55,0,0,0,0,0,0,0,0,0,0,0
btn_cancel,btn_121.png,btn_121_s.png,143,587,128,60,55,0,0,0,0,0,0,0,0,0,0,0
