\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
table,0,0,75,187,490,679,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,pic_61.png,0,276,125,95,40,25,0,0,0,0,0,13,8,36,0,0,0
bg_have,bg_114.png,0,75,187,490,71,30,0,0,0,0,0,0,0,0,0,0,0
t_have,0,0,96,200,91,32,35,0,0,0,0,0,34,11,67,0,0,0
cframe,bg_115.png,0,96,260,130,130,40,0,0,0,0,0,0,0,0,0,0,0
cbg_alias,bg_116.png,0,96,395,131,36,45,0,0,0,0,0,0,0,0,0,0,0
c_alias,0,0,116,402,90,19,50,0,0,0,0,0,13,8,36,0,0,0
bg_not_have,bg_114.png,0,75,442,490,71,30,0,0,0,0,0,0,0,0,0,0,0
t_not_have,0,0,96,456,91,32,35,0,0,0,0,0,34,11,67,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
bg_tip,bg_121.png,0,48,337,540,288,10,0,0,0,404,260,0,0,0,0,0,0
btn_back_tip,btn_16.png,btn_16_s.png,522,332,69,80,15,0,0,0,0,0,0,0,0,0,0,0
tip_hframe,bg_115.png,0,91,393,130,130,20,0,0,0,0,0,0,0,0,0,0,0
tip_hnframe,bg_116.png,0,91,529,131,36,20,0,0,0,0,0,0,0,0,0,0,0
tip_name,0,0,99,536,114,19,25,0,0,0,0,0,13,8,36,0,0,0
tip_get,pic_90.png,0,239,395,156,46,30,0,0,0,0,0,0,0,0,0,0,0
tip_desc_bg,bg_156.png,0,239,450,308,115,35,0,0,0,64,64,0,0,0,0,0,0
tip_desc,0,0,256,467,270,78,40,0,0,0,0,0,238,228,221,0,0,0
