\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,pic_61.png,0,276,125,95,40,25,0,0,0,0,0,13,8,36,0,0,0
bg_hero,bg_115.png,0,96,211,130,130,30,0,0,0,0,0,0,0,0,0,0,0
bg_hero_alias,bg_116.png,0,95,349,131,36,35,0,0,0,0,0,0,0,0,0,0,0
hero_alias,0,0,117,357,90,19,40,0,0,0,0,0,13,8,36,0,0,0
bg_hp,bg_117.png,0,239,212,149,46,45,0,0,0,0,0,0,0,0,0,0,0
bg_power,bg_118.png,0,396,212,149,46,45,0,0,0,0,0,0,0,0,0,0,0
num_hp,0,0,319,220,36,28,50,0,0,0,0,0,255,255,255,0,0,0
num_power,0,0,477,220,36,28,50,0,0,0,0,0,255,255,255,0,0,0
bg_desc,bg_119.png,0,235,261,301,124,45,0,0,0,0,0,0,0,0,0,0,0
desc,0,0,250,319,272,53,50,0,0,0,0,0,255,255,255,0,0,0
bg_board,bg_114.png,0,76,399,490,71,30,0,0,0,0,0,0,0,0,0,0,0
t_board,0,0,99,412,127,32,35,0,0,0,0,0,34,11,67,0,0,0
cell,bg_120.png,0,84,471,472,99,40,0,0,0,0,0,0,0,0,0,0,0
tip,0,0,104,486,291,27,45,0,0,0,0,0,0,0,0,0,0,0
tip_hp,pic_62.png,0,104,532,52,27,45,0,0,0,0,0,254,253,246,0,0,0
tip_power,text_15.png,0,104,532,52,27,45,0,0,0,0,0,254,253,246,0,0,0
tip_change,0,0,160,529,291,29,45,0,0,0,0,0,254,253,246,0,0,0
btn_go,btn_80.png,btn_80_s.png,410,489,123,64,50,0,0,0,0,0,0,0,0,0,0,0
btn_done,btn_82.png,btn_82_s.png,410,489,123,64,50,0,0,0,0,0,0,0,0,0,0,0
missdone,pic_63.png,0,410,485,126,71,50,0,0,0,0,0,0,0,0,0,0,0
table,0,0,83,470,473,396,55,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
fbottom,bg_123.png,0,76,829,489,37,60,0,0,0,0,0,0,0,0,0,0,0
