\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_67.png,0,282,128,85,36,25,0,0,0,0,0,13,8,36,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
box,bg_205.png,0,91,200,455,294,30,0,0,0,465,155,0,0,0,0,0,0
t_title,0,0,252,214,143,31,35,0,0,0,0,0,243,240,221,0,0,0
bg_fund,bg_212.png,0,94,280,446,54,40,0,0,0,0,0,0,0,0,0,0,0
t_fund,text_68.png,0,109,291,106,28,45,0,0,0,0,0,0,0,0,0,0,0
gold_fund,icon_69.png,0,240,293,31,30,40,0,0,0,0,0,0,0,0,0,0,0
n_fund,0,0,281,293,165,29,45,0,0,0,0,0,0,0,0,0,0,0
bg_myfund,bg_212.png,0,94,346,446,54,40,0,0,0,0,0,0,0,0,0,0,0
t_myfund,text_69.png,0,108,357,107,29,45,0,0,0,0,0,0,0,0,0,0,0
gold_myfund,icon_69.png,0,240,359,31,30,40,0,0,0,0,0,0,0,0,0,0,0
n_myfund,0,0,281,359,165,29,45,0,0,0,0,0,0,0,0,0,0,0
bg_my,bg_212.png,0,94,413,446,54,40,0,0,0,0,0,0,0,0,0,0,0
t_my,text_70.png,0,108,425,107,28,45,0,0,0,0,0,0,0,0,0,0,0
n_my,0,0,244,426,76,29,50,0,0,0,0,0,0,0,0,0,0,0
btn_invest,btn_148.png,btn_148_s.png,126,513,168,54,55,0,0,0,0,0,0,0,0,0,0,0
btn_record,btn_149.png,btn_149_s.png,344,513,168,54,55,0,0,0,0,0,0,0,0,0,0,0
