\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_65.png,0,256,128,136,37,25,0,0,0,0,0,13,8,36,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
bg_search,bg_213.png,0,82,208,246,47,25,0,0,0,49,49,0,0,0,0,0,0
t_search,0,0,99,207,140,47,30,0,0,0,0,0,255,255,255,0,0,0
btn_search,btn_143.png,btn_143_s.png,254,201,136,58,30,0,0,0,0,0,0,0,0,0,0,0
btn_create,btn_145.png,btn_145_s.png,392,204,168,54,35,0,0,0,0,0,0,0,0,0,0,0
t_lv,text_40.png,0,88,277,43,24,40,0,0,0,0,0,0,0,0,0,0,0
lv,0,0,136,277,39,24,40,0,0,0,0,0,0,0,0,0,0,0
name,0,0,178,275,255,27,45,0,0,0,0,0,0,0,0,0,0,0
cell,bg_214.png,0,78,270,483,139,35,0,0,0,0,0,0,0,0,0,0,0
t_bg,bg_156.png,0,84,325,342,67,40,0,0,0,64,64,0,0,0,0,0,0
t_master,text_58.png,0,88,340,58,28,45,0,0,0,0,0,0,0,0,0,0,0
master,0,0,146,340,162,27,50,0,0,0,0,0,255,255,255,0,0,0
t_num,text_59.png,0,308,341,61,27,55,0,0,0,0,0,0,0,0,0,0,0
num,0,0,370,341,51,27,60,0,0,0,0,0,0,0,0,0,0,0
btn_apply,btn_146.png,btn_146_s.png,430,328,128,60,65,0,0,0,0,0,0,0,0,0,0,0
btn_cancel,btn_121.png,btn_121_s.png,430,328,128,60,65,0,0,0,0,0,0,0,0,0,0,0
table,0,0,78,270,483,597,75,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_123.png,0,76,830,489,37,80,0,0,0,0,0,0,0,0,0,0,0
