\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_200.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
actor,bg_223.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
building,bg_224.png,0,0,376,640,584,6,0,0,0,0,0,0,0,0,0,0,0
logo,logo_1.png,0,115,31,406,211,10,0,0,0,0,0,0,0,0,0,0,0
frame,bg_198.png,0,89,237,445,474,15,0,0,0,0,0,0,0,0,0,0,0
title,0,0,266,252,92,38,20,0,0,0,0,0,255,255,255,56,32,64
t_uname,0,0,125,342,70,38,20,0,0,0,0,0,255,255,255,92,44,108
bg_uname,bg_197.png,0,201,330,295,63,25,0,0,0,63,63,0,0,0,0,0,0
uname,0,0,218,326,220,67,30,0,0,0,0,0,231,247,253,0,0,0
more,btn_130.png,btn_130_s.png,444,340,42,42,35,0,0,0,0,0,0,0,0,0,0,0
t_pw,0,0,125,421,70,38,20,0,0,0,0,0,255,255,255,92,44,108
bg_pw,bg_197.png,0,201,410,295,63,25,0,0,0,63,63,0,0,0,0,0,0
pw,0,0,218,409,220,67,30,0,0,0,0,0,231,247,253,0,0,0
toggle,btn_131.png,btn_131_s.png,291,492,53,53,40,1,0,0,0,0,0,0,0,0,0,0
tip_save,0,0,350,500,143,31,45,0,0,0,0,0,0,0,0,0,0,0
login,btn_132.png,btn_132_s.png,141,579,155,73,50,0,0,0,0,0,0,0,0,0,0,0
t_login,0,0,186,599,68,29,55,0,0,0,0,0,21,9,2,0,0,0
reg,btn_132.png,btn_132_s.png,326,579,155,73,50,0,0,0,0,0,0,0,0,0,0,0
t_reg,0,0,371,599,68,29,55,0,0,0,0,0,21,9,2,0,0,0
server,btn_133.png,btn_133_s.png,10,701,619,69,60,0,0,0,0,0,0,0,0,0,0,0
t_server_left,0,0,135,723,259,27,65,0,0,0,0,0,255,255,255,0,0,0
t_server_right,0,0,406,723,99,27,65,0,0,0,0,0,251,248,7,0,0,0
server_2,btn_133.png,btn_133_s.png,11,546,619,69,60,0,0,0,0,0,0,0,0,0,0,0
t_server_left_2,0,0,135,568,259,27,65,0,0,0,0,0,255,255,255,0,0,0
t_server_right_2,0,0,405,568,99,27,65,0,0,0,0,0,251,248,7,0,0,0
login_2,btn_132.png,btn_132_s.png,242,644,155,73,50,0,0,0,0,0,0,0,0,0,0,0
t_login_2,0,0,286,665,68,29,55,0,0,0,0,0,21,9,2,0,0,0
t_pw2,0,0,125,503,70,38,20,0,0,0,0,0,255,255,255,92,44,108
bg_pw2,bg_197.png,0,201,492,295,63,25,0,0,0,63,63,0,0,0,0,0,0
pw2,0,0,218,491,259,67,30,0,0,0,0,0,231,247,253,0,0,0
back,btn_132.png,btn_132_s.png,141,579,155,73,50,0,0,0,0,0,0,0,0,0,0,0
t_back,0,0,186,599,68,29,55,0,0,0,0,0,21,9,2,0,0,0
reg,btn_132.png,btn_132_s.png,326,579,155,73,50,0,0,0,0,0,0,0,0,0,0,0
t_reg,0,0,371,599,68,29,55,0,0,0,0,0,21,9,2,0,0,0
