\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,155,540,680,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,150,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,130,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,264,150,106,40,30,0,0,0,0,0,251,252,244,57,29,74
btn_refresh,btn_157.png,btn_157_s.png,80,166,70,61,35,0,0,0,0,0,0,0,0,0,0,0
btn_create,btn_159.png,btn_159_s.png,73,232,168,54,40,0,0,0,0,0,0,0,0,0,0,0
bg_room,bg_197.png,0,250,227,314,62,40,0,0,0,63,63,0,0,0,0,0,0
t_room,0,0,270,233,157,46,45,0,0,0,0,0,255,255,255,0,0,0
btn_room,btn_156.png,btn_156_s.png,453,234,106,53,50,0,0,0,0,0,0,0,0,0,0,0
cell,bg_168.png,0,71,293,493,168,55,0,0,0,276,142,0,0,0,0,0,0
c_title,btn_103.png,0,79,299,477,63,60,0,0,0,0,0,0,0,0,0,0,0
c_name_l,0,0,86,308,199,35,65,0,0,0,0,0,252,224,113,0,0,0
c_lock,icon_99.png,0,227,377,61,59,70,0,0,0,0,0,0,0,0,0,0,0
t_num,0,0,91,369,102,30,65,0,0,0,0,0,172,156,201,0,0,0
n_num,0,0,197,363,45,32,70,0,0,0,0,0,0,0,0,0,0,0
t_state,0,0,91,408,138,30,75,0,0,0,0,0,172,156,201,0,0,0
bg_btn,bg_170.png,0,415,387,147,69,80,0,0,0,0,0,0,0,0,0,0,0
btn_go,btn_158.png,btn_158_s.png,436,389,123,64,85,0,0,0,0,0,0,0,0,0,0,0
table,0,0,71,293,493,513,90,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_216.png,0,72,775,490,31,95,0,0,0,0,0,0,0,0,0,0,0
