\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,155,540,680,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,150,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,130,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,233,150,166,40,30,0,0,0,0,0,251,252,244,57,29,74
frame,bg_162.png,0,72,232,490,559,35,0,0,0,128,128,0,0,0,0,0,0
cell,bg_168.png,0,72,232,490,96,40,0,0,0,276,142,0,0,0,0,0,0
cell_bg_title,bg_206.png,0,78,238,334,40,45,0,0,0,0,0,0,0,0,0,0,0
icon,icon_87.png,0,88,247,34,28,50,0,0,0,0,0,0,0,0,0,0,0
t_title,0,0,130,242,269,28,55,0,0,0,0,0,240,240,203,0,0,0
time,0,0,130,282,269,28,55,0,0,0,0,0,111,154,174,0,0,0
bg_btn,bg_170.png,0,415,255,147,69,60,0,0,0,0,0,0,0,0,0,0,0
btn_check,btn_139.png,btn_139_s.png,436,257,123,64,65,0,0,0,0,0,0,0,0,0,0,0
table,0,0,72,232,490,559,70,0,0,0,0,0,0,0,0,0,0,0
btn_close,btn_138.png,btn_138_s.png,75,158,80,80,50,0,0,0,0,0,0,0,0,0,0,0
p_bg_title,btn_103.png,0,79,239,477,63,55,0,0,0,0,0,0,0,0,0,0,0
p_icon,icon_87.png,0,94,255,34,28,60,0,0,0,0,0,0,0,0,0,0,0
p_title,0,0,145,254,396,28,60,0,0,0,0,0,252,224,113,0,0,0
p_detail,0,0,92,315,450,459,55,0,0,0,0,0,240,240,203,0,0,0
