\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_73.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
left_up_leaf,bg_74.png,0,0,0,182,139,15,0,0,0,0,0,0,0,0,0,0,0
t_time,0,0,67,17,45,32,25,0,0,0,0,0,0,0,0,0,0,0
bg_time,bg_75.png,0,8,4,119,59,20,0,0,0,0,0,0,0,0,0,0,0
alias_up,0,0,3,79,141,34,15,0,0,0,0,0,232,228,250,18,23,58
bg_alias_up,bg_76.png,0,0,71,154,53,10,0,0,0,0,0,0,0,0,0,0,0
bg_hero_up,bg_77.png,0,0,124,164,247,15,0,0,0,0,0,0,0,0,0,0,0
hero_up,0,0,0,124,161,245,15,0,0,0,0,0,0,0,0,0,0,0
res_num_up,0,0,81,377,62,27,25,0,0,0,0,0,0,0,0,0,0,0
res_up,bg_78.png,0,0,371,164,45,20,0,0,0,0,0,0,0,0,0,0,0
btn_skip,btn_76.png,btn_76_s.png,5,428,145,77,30,0,0,0,0,0,0,0,0,0,0,0
btn_cancel,btn_68.png,btn_68_s.png,5,428,145,77,30,0,0,0,0,0,0,0,0,0,0,0
bg_btn_left,bg_79.png,0,0,419,182,99,25,0,0,0,0,0,0,0,0,0,0,0
btn_finish,btn_69.png,btn_69_s.png,486,428,145,77,30,0,0,0,0,0,0,0,0,0,0,0
btn_confirm,btn_75.png,btn_75_s.png,486,428,145,77,30,0,0,0,0,0,0,0,0,0,0,0
bg_btn_right,bg_80.png,0,458,419,182,101,25,0,0,0,0,0,0,0,0,0,0,0
res_num_down,0,0,81,536,62,27,35,0,0,0,0,0,0,0,0,0,0,0
res_down,bg_81.png,0,0,521,160,52,30,0,0,0,0,0,0,0,0,0,0,0
bg_hero_down,bg_82.png,0,0,572,162,250,35,0,0,0,0,0,0,0,0,0,0,0
hero_down,0,0,0,572,161,245,35,0,0,0,0,0,0,0,0,0,0,0
alias_down,0,0,3,817,141,34,45,0,0,0,0,0,232,228,250,18,23,58
bg_alias_down,bg_83.png,0,0,822,162,42,40,0,0,0,0,0,0,0,0,0,0,0
bg_btn_auto,bg_84.png,0,0,867,149,93,45,0,0,0,0,0,0,0,0,0,0,0
btn_auto,btn_70.png,btn_77.png,10,888,106,60,50,1,0,0,0,0,0,0,0,0,0,0
hand_up,0,0,160,0,365,66,10,0,0,0,0,0,0,0,0,0,0,0
hand_down,0,0,160,866,365,94,10,0,0,0,0,0,0,0,0,0,0,0
sup_up_t,text_1.png,0,415,199,70,23,50,0,0,0,0,0,0,0,0,0,0,0
sup_up,bg_85.png,0,164,76,334,161,45,0,0,0,0,0,0,0,0,0,0,0
ally_up_t,text_2.png,0,529,373,69,23,50,0,0,0,0,0,0,0,0,0,0,0
ally_up,bg_86.png,0,164,250,447,161,45,0,0,0,0,0,0,0,0,0,0,0
btn_more,btn_71.png,btn_71_s.png,556,2,76,79,65,1,0,0,0,0,0,0,0,0,0,0
more3,btn_72.png,btn_72_s.png,444,14,106,53,60,0,0,0,0,0,0,0,0,0,0,0
more2,btn_73.png,btn_73_s.png,331,14,106,53,60,0,0,0,0,0,0,0,0,0,0,0
more1,btn_74.png,btn_74_s.png,218,14,106,53,60,0,0,0,0,0,0,0,0,0,0,0
more4,btn_154.png,btn_154_s.png,105,14,106,53,60,0,0,0,0,0,0,0,0,0,0,0
bg_more,bg_87.png,0,199,8,400,71,55,0,0,0,0,0,0,0,0,0,0,0
bg_more2,bg_87_2.png,0,89,8,500,71,55,0,0,0,0,0,0,0,0,0,0,0
grave_up_frame,bg_88.png,0,518,100,44,67,55,0,0,0,0,0,0,0,0,0,0,0
grave_up,bg_89.png,0,504,70,71,171,50,0,0,0,0,0,0,0,0,0,0,0
deck_up_num,0,0,581,195,43,29,60,0,0,0,0,0,0,0,0,0,0,0
deck_up,bg_90.png,0,575,70,65,171,55,0,0,0,0,0,0,0,0,0,0,0
deck_up_stone,bg_91.png,0,623,237,17,174,60,0,0,0,0,0,0,0,0,0,0,0
ally_down_t,text_2.png,0,529,646,69,23,50,0,0,0,0,0,0,0,0,0,0,0
ally_down,bg_86.png,0,164,524,447,161,45,0,0,0,0,0,0,0,0,0,0,0
sup_down_t,text_1.png,0,415,822,70,23,50,0,0,0,0,0,0,0,0,0,0,0
sup_down,bg_85.png,0,164,698,334,161,45,0,0,0,0,0,0,0,0,0,0,0
grave_down_frame,bg_88.png,0,518,723,44,67,55,0,0,0,0,0,0,0,0,0,0,0
grave_down,bg_89.png,0,504,692,71,171,50,0,0,0,0,0,0,0,0,0,0,0
deck_down_num,0,0,581,816,43,29,60,0,0,0,0,0,0,0,0,0,0,0
deck_down,bg_90.png,0,575,692,65,171,55,0,0,0,0,0,0,0,0,0,0,0
deck_down_stone,bg_92.png,0,623,522,17,174,60,0,0,0,0,0,0,0,0,0,0,0
hero_up_frame,bg_93.png,0,0,124,161,185,65,0,0,0,0,0,0,0,0,0,0,0
hero_down_frame,bg_93.png,0,0,573,161,185,65,0,0,0,0,0,0,0,0,0,0,0
phase_pic,text_3.png,0,211,437,159,40,70,0,0,0,0,0,0,0,0,0,0,0
num_round,0,0,370,431,71,40,70,0,0,0,0,0,0,0,0,0,0,0
