\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_61.png,0,281,128,85,37,25,0,0,0,0,0,13,8,36,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
bg_search,bg_213.png,0,82,208,405,47,25,0,0,0,49,49,0,0,0,0,0,0
t_search,0,0,99,207,282,47,30,0,0,0,0,0,255,255,255,0,0,0
btn_search,btn_143.png,btn_143_s.png,417,201,136,58,30,0,0,0,0,0,0,0,0,0,0,0
cell,bg_211.png,0,77,268,486,164,35,0,0,0,0,0,0,0,0,0,0,0
t_lv,text_40.png,0,132,381,43,24,40,0,0,0,0,0,0,0,0,0,0,0
lv,0,0,178,381,38,24,40,0,0,0,0,0,0,0,0,0,0,0
icon,bg_115.png,0,107,281,130,130,40,0,0,0,0,0,0,0,0,0,0,0
alias,0,0,273,276,215,27,45,0,0,0,0,0,34,11,67,0,0,0
t_lastlogin,0,0,273,328,102,27,45,0,0,0,0,0,255,255,255,0,0,0
lastlogin,0,0,378,328,175,27,50,0,0,0,0,0,0,0,0,0,0,0
bg_pos,bg_156.png,0,273,360,144,55,55,0,0,0,64,64,0,0,0,0,0,0
master,text_62.png,0,290,373,51,28,60,0,0,0,0,0,0,0,0,0,0,0
senior,text_63.png,0,290,373,77,28,60,0,0,0,0,0,0,0,0,0,0,0
member,text_64.png,0,290,373,50,28,60,0,0,0,0,0,0,0,0,0,0,0
btn_action,btn_144.png,btn_144_s.png,424,362,128,52,65,0,0,0,0,0,0,0,0,0,0,0
table,0,0,77,268,486,599,75,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_123.png,0,76,830,489,37,80,0,0,0,0,0,0,0,0,0,0,0
