\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_167.png,0,51,75,540,815,20,0,0,0,344,524,0,0,0,0,,0
bg_title,bg_125.png,0,101,55,435,91,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,266,78,114,38,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,535,67,69,80,30,0,0,0,0,0,0,0,0,0,0,0
cell1,bg_168.png,0,76,156,490,256,35,0,0,0,276,142,0,0,0,0,0,0
cell1_bgtitle,btn_103_s.png,0,83,163,477,63,40,0,0,0,0,0,0,0,0,0,0,0
cell1_icon,icon_72.png,0,83,167,56,54,45,0,0,0,0,0,0,0,0,0,0,0
cell1_title,0,0,139,177,411,30,50,0,0,0,0,0,243,240,221,0,0,0
cell1_desc,0,0,91,233,459,25,55,0,0,0,0,0,96,166,199,0,0,0
gold1,icon_69.png,0,90,275,31,30,60,0,0,0,0,0,0,0,0,0,0,0
n_gold1,0,0,128,275,68,26,60,0,0,0,0,0,0,0,0,0,0,0
crystal1,icon_70.png,0,226,275,37,34,60,0,0,0,0,0,0,0,0,0,0,0
n_crystal1,0,0,266,275,68,26,60,0,0,0,0,0,0,0,0,0,0,0
exp1,text_29.png,0,364,277,56,26,60,0,0,0,0,0,0,0,0,0,0,0
n_exp1,0,0,421,275,68,26,60,0,0,0,0,0,0,0,0,0,0,0
pframe1,pic_97.png,0,87,319,76,78,65,0,0,0,0,0,0,0,0,0,0,0
n_pframe1,0,0,166,341,54,26,70,0,0,0,0,0,0,0,0,0,0,0
cframe1_1,pic_98.png,0,225,319,76,78,65,0,0,0,0,0,0,0,0,0,0,0
cframe1_2,pic_98.png,0,317,319,76,78,65,0,0,0,0,0,0,0,0,0,0,0
bg_btn_get1,bg_170.png,0,419,339,147,69,70,0,0,0,0,0,0,0,0,0,0,0
btn_get1,btn_114.png,btn_114_s.png,440,341,123,64,75,0,0,0,0,0,0,0,0,0,0,0
cell2,bg_168.png,0,76,422,490,197,35,0,0,0,276,142,0,0,0,0,0,0
cell2_bgtitle,btn_103_s.png,0,83,429,477,63,40,0,0,0,0,0,0,0,0,0,0,0
cell2_icon,icon_72.png,0,83,433,56,54,45,0,0,0,0,0,0,0,0,0,0,0
cell2_title,0,0,139,444,411,30,50,0,0,0,0,0,243,240,221,0,0,0
cell2_desc,0,0,91,500,459,25,55,0,0,0,0,0,96,166,199,0,0,0
gold2,icon_69.png,0,90,538,31,30,60,0,0,0,0,0,0,0,0,0,0,0
n_gold2,0,0,128,539,68,26,60,0,0,0,0,0,0,0,0,0,0,0
crystal2,icon_70.png,0,85,575,37,34,60,0,0,0,0,0,0,0,0,0,0,0
n_crystal2,0,0,125,575,68,26,60,0,0,0,0,0,0,0,0,0,0,0
exp2,text_29.png,0,228,540,56,26,60,0,0,0,0,0,0,0,0,0,0,0
n_exp2,0,0,285,539,68,26,60,0,0,0,0,0,0,0,0,0,0,0
bg_btn_get2,bg_170.png,0,419,544,147,69,70,0,0,0,0,0,0,0,0,0,0,0
btn_get2,btn_114.png,btn_114_s.png,440,546,123,64,75,0,0,0,0,0,0,0,0,0,0,0
bottom_line,bg_171.png,0,76,811,490,25,80,0,0,0,0,0,0,0,0,0,0,0
table,0,0,76,156,490,681,60,0,0,0,0,0,0,0,0,0,0,0
arrow_down,btn_111.png,btn_111_s.png,289,823,75,57,80,0,0,0,0,0,0,0,0,0,0,0
