\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,pic_89.png,0,275,125,96,41,25,0,0,0,0,0,13,8,36,0,0,0
bg_hero,bg_115.png,0,96,211,130,130,30,0,0,0,0,0,0,0,0,0,0,0
bg_hero_alias,bg_116.png,0,95,349,131,36,35,0,0,0,0,0,0,0,0,0,0,0
hero_alias,0,0,117,357,90,19,40,0,0,0,0,0,13,8,36,0,0,0
bg_hp,bg_117.png,0,239,212,149,46,45,0,0,0,0,0,0,0,0,0,0,0
bg_power,bg_118.png,0,396,212,149,46,45,0,0,0,0,0,0,0,0,0,0,0
num_hp,0,0,319,220,36,28,50,0,0,0,0,0,255,255,255,0,0,0
num_power,0,0,477,220,36,28,50,0,0,0,0,0,255,255,255,0,0,0
bg_desc,bg_152.png,0,235,261,301,156,45,0,0,0,0,0,0,0,0,0,0,0
desc,0,0,250,319,272,84,50,0,0,0,0,0,255,255,255,0,0,0
btn_hero,btn_92.png,btn_92_s.png,102,423,216,90,50,0,0,0,0,0,0,0,0,0,0,0
btn_deck,btn_93.png,btn_93_s.png,318,423,216,90,50,0,0,0,0,0,0,0,0,0,0,0
bg_deck_name,bg_153.png,0,91,521,457,330,50,0,0,0,457,330,0,0,0,0,0
deck_name,0,0,200,537,241,30,55,0,0,0,0,0,235,213,95,0,0,0
table,0,0,101,589,436,252,60,0,0,0,0,0,0,0,0,0,0,0
cell,0,0,101,589,169,252,65,0,0,0,0,0,0,0,0,0,0,0
cframe,bg_154.png,0,110,601,148,228,65,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
