\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_27.png,0,257,128,134,37,25,0,0,0,0,0,13,8,36,0,0,0
frame1,bg_163.png,0,88,199,144,233,30,0,0,0,0,0,0,0,0,0,0,0
picon1,icon_66.png,0,95,204,59,59,35,0,0,0,0,0,0,0,0,0,0,0
gold1,icon_69.png,0,109,357,31,30,35,0,0,0,0,0,0,0,0,0,0,0
crystal1,icon_70.png,0,103,357,37,34,35,0,0,0,0,0,0,0,0,0,0,0
price1,0,0,141,355,79,23,40,0,0,0,0,0,0,0,0,0,0,0
cname1,0,0,100,376,121,21,45,0,0,0,0,0,13,8,36,0,0,0
frame2,bg_163.png,0,249,199,144,233,30,0,0,0,0,0,0,0,0,0,0,0
picon2,icon_66.png,0,256,204,59,59,35,0,0,0,0,0,0,0,0,0,0,0
gold2,icon_69.png,0,270,357,31,30,35,0,0,0,0,0,0,0,0,0,0,0
crystal2,icon_70.png,0,263,357,37,34,35,0,0,0,0,0,0,0,0,0,0,0
price2,0,0,302,355,79,23,40,0,0,0,0,0,0,0,0,0,0,0
cname2,0,0,261,376,121,21,45,0,0,0,0,0,13,8,36,0,0,0
frame3,bg_163.png,0,410,199,144,233,30,0,0,0,0,0,0,0,0,0,0,0
picon3,icon_66.png,0,417,204,59,59,35,0,0,0,0,0,0,0,0,0,0,0
gold3,icon_69.png,0,431,357,31,30,35,0,0,0,0,0,0,0,0,0,0,0
crystal3,icon_70.png,0,423,357,37,34,35,0,0,0,0,0,0,0,0,0,0,0
price3,0,0,463,355,79,23,40,0,0,0,0,0,0,0,0,0,0,0
cname3,0,0,422,376,121,21,45,0,0,0,0,0,13,8,36,0,0,0
frame4,bg_163.png,0,88,453,144,233,30,0,0,0,0,0,0,0,0,0,0,0
picon4,icon_66.png,0,95,458,59,59,35,0,0,0,0,0,0,0,0,0,0,0
gold4,icon_69.png,0,109,611,31,30,35,0,0,0,0,0,0,0,0,0,0,0
crystal4,icon_70.png,0,103,611,37,34,35,0,0,0,0,0,0,0,0,0,0,0
price4,0,0,141,609,79,23,40,0,0,0,0,0,0,0,0,0,0,0
cname4,0,0,100,630,121,21,45,0,0,0,0,0,13,8,36,0,0,0
frame5,bg_163.png,0,249,453,144,233,30,0,0,0,0,0,0,0,0,0,0,0
picon5,icon_66.png,0,256,458,59,59,35,0,0,0,0,0,0,0,0,0,0,0
gold5,icon_69.png,0,270,611,31,30,35,0,0,0,0,0,0,0,0,0,0,0
crystal5,icon_70.png,0,263,611,37,34,35,0,0,0,0,0,0,0,0,0,0,0
price5,0,0,302,609,79,23,40,0,0,0,0,0,0,0,0,0,0,0
cname5,0,0,261,630,121,21,45,0,0,0,0,0,13,8,36,0,0,0
frame6,bg_163.png,0,410,453,144,233,30,0,0,0,0,0,0,0,0,0,0,0
picon6,icon_66.png,0,417,458,59,59,35,0,0,0,0,0,0,0,0,0,0,0
gold6,icon_69.png,0,431,611,31,30,35,0,0,0,0,0,0,0,0,0,0,0
crystal6,icon_70.png,0,423,611,37,34,35,0,0,0,0,0,0,0,0,0,0,0
price6,0,0,463,609,79,23,40,0,0,0,0,0,0,0,0,0,0,0
cname6,0,0,422,630,121,21,45,0,0,0,0,0,13,8,36,0,0,0
frame7,bg_165.png,0,409,199,148,233,50,0,0,0,0,0,0,0,0,0,0,
btn7,btn_106.png,btn_106_s.png,432,368,104,54,55,0,0,0,0,0,0,0,0,0,0,
frame8,bg_165.png,0,409,453,148,233,50,0,0,0,0,0,0,0,0,0,0,0
btn8,btn_106.png,btn_106_s.png,432,622,104,54,55,0,0,0,0,0,0,0,0,0,0,0
btn_show,btn_107.png,btn_107_s.png,87,699,151,151,60,0,0,0,0,0,0,0,0,0,0,0
bg_refresh,bg_166.png,0,249,710,302,126,55,0,0,0,0,0,0,0,0,0,0,0
refresh_time,0,0,293,708,134,32,70,0,0,0,0,0,0,0,0,0,0,0
btn_refresh,btn_105.png,btn_105_s.png,289,766,224,60,75,0,0,0,0,0,0,0,0,0,0,0
rcrystal,icon_70.png,0,462,778,37,34,80,0,0,0,0,0,0,0,0,0,0,0
rgold,icon_69.png,0,467,779,31,30,80,0,0,0,0,0,0,0,0,0,0,0
rprice,0,0,372,781,91,25,85,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
