\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,155,540,680,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,150,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,130,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,233,150,166,40,30,0,0,0,0,0,251,252,244,57,29,74
bg_table,bg_162.png,0,72,232,490,559,35,0,0,0,128,128,0,0,0,0,0,0
cell,btn_103.png,btn_103_s.png,79,239,477,63,40,0,0,0,0,0,0,0,0,0,0,0
icon,icon_86.png,0,89,248,45,45,45,0,0,0,0,0,0,0,0,0,0,0
cell_title,0,0,145,252,400,28,50,0,0,0,0,0,252,224,113,0,0,0
table,0,0,79,239,477,543,55,0,0,0,0,0,0,0,0,0,0,0
btn_return,btn_138.png,btn_138_s.png,75,158,80,80,50,0,0,0,0,0,0,0,0,0,0,0
detail,0,0,92,315,450,459,55,0,0,0,0,0,240,240,203,0,0,0
