\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_73.png,0,281,128,85,37,25,0,0,0,0,0,13,8,36,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
bg_music,bg_210.png,0,84,200,471,56,25,0,0,0,0,0,0,0,0,0,0,0
t_music,pic_105.png,0,90,205,149,46,30,0,0,0,0,0,0,0,0,0,0,0
m_music,btn_150.png,btn_150_s.png,96,272,55,55,35,0,0,0,0,0,0,0,0,0,0,0
p_music,btn_151.png,btn_151_s.png,484,272,55,55,35,0,0,0,0,0,0,0,0,0,0,0
bar1_music,bg_157.png,0,165,294,304,30,40,0,0,0,0,0,0,0,0,0,0,0
bar2_music,bg_158.png,0,165,294,304,30,45,0,0,0,0,0,0,0,0,0,0,0
tap_music,btn_152.png,btn_152_s.png,349,286,45,46,50,0,0,0,0,0,0,0,0,0,0,0
bg_eff,bg_210.png,0,84,359,471,56,25,0,0,0,0,0,0,0,0,0,0,0
t_eff,pic_106.png,0,90,364,149,46,30,0,0,0,0,0,0,0,0,0,0,0
m_eff,btn_150.png,btn_150_s.png,96,431,55,55,35,0,0,0,0,0,0,0,0,0,0,0
p_eff,btn_151.png,btn_151_s.png,484,431,55,55,35,0,0,0,0,0,0,0,0,0,0,0
bar1_eff,bg_157.png,0,165,453,304,30,40,0,0,0,0,0,0,0,0,0,0,0
bar2_eff,bg_158.png,0,165,453,304,30,45,0,0,0,0,0,0,0,0,0,0,0
tap_eff,btn_152.png,btn_152_s.png,349,445,45,46,50,0,0,0,0,0,0,0,0,0,0,0
btn_exchange,btn_153.png,btn_153_s.png,126,579,168,54,55,0,0,0,0,0,14,68,16,0,0,0
btn_logout,btn_153.png,btn_153_s.png,344,579,168,54,55,0,0,0,0,0,14,68,16,0,0,0
client_ver,0,0,178,825,284,27,60,0,0,0,0,0,52,30,5,0,0,0
