\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_167.png,0,51,75,540,815,20,0,0,0,344,524,0,0,0,0,0,0
bg_title,bg_125.png,0,101,55,435,91,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,266,78,114,38,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,535,67,69,80,30,0,0,0,0,0,0,0,0,0,0,0
c1,bg_168.png,0,76,156,490,198,35,0,0,0,276,142,0,0,0,0,0,0
c1_bg_title,btn_103_s.png,0,83,163,477,63,40,0,0,0,0,0,0,0,0,0,0,0
c1_title,0,0,95,174,450,33,50,0,0,0,0,0,248,214,3,0,0,0
c1_crystal,pic_107.png,0,142,231,93,107,55,0,0,0,0,0,0,0,0,0,0,0
c1_p1,0,0,238,253,34,32,60,0,0,0,0,0,0,0,0,0,0,0
c1_card1,pic_108.png,0,274,231,96,108,55,0,0,0,0,0,0,0,0,0,0,0
c1_p2,0,0,373,253,34,32,60,0,0,0,0,0,0,0,0,0,0,0
c1_card2,pic_109.png,0,410,230,92,109,55,0,0,0,0,0,0,0,0,0,0,0
c2,bg_168.png,0,76,357,490,198,35,0,0,0,276,142,0,0,0,0,0,0
c2_bg_title,btn_103_s.png,0,83,364,477,63,40,0,0,0,0,0,0,0,0,0,0,0
c2_title,0,0,95,375,450,33,50,0,0,0,0,0,248,214,3,0,0,0
c2_card1,pic_110.png,0,108,432,115,108,55,0,0,0,0,0,0,0,0,0,0,0
c2_p1,0,0,226,455,34,32,60,0,0,0,0,0,0,0,0,0,0,0
c2_card2,pic_111.png,0,263,432,115,108,55,0,0,0,0,0,0,0,0,0,0,0
c2_p2,0,0,381,455,34,32,60,0,0,0,0,0,0,0,0,0,0,0
c2_card3,pic_112.png,0,418,431,115,109,55,0,0,0,0,0,0,0,0,0,0,0
c3,bg_168.png,0,76,560,490,188,35,0,0,0,276,142,0,0,0,0,0,0
c3_bg_title,btn_103_s.png,0,83,567,477,63,40,0,0,0,0,0,0,0,0,0,0,0
c3_title,0,0,95,580,450,33,45,0,0,0,0,0,243,240,221,0,0,0
c3_crystal,icon_97.png,0,94,645,76,77,50,0,0,0,0,0,0,0,0,0,0,0
c3_vip,icon_96.png,0,94,645,75,77,50,0,0,0,0,0,0,0,0,0,0,0
c3_desc,0,0,188,642,240,100,55,0,0,0,0,0,148,164,234,0,0,0
c3_price,0,0,453,654,54,39,60,0,0,0,0,0,0,0,0,0,0,0
c3_yuan,text_74.png,0,507,670,34,29,65,0,0,0,0,0,0,0,0,0,0,0
table,0,0,76,156,490,681,60,0,0,0,0,0,0,0,0,0,0,0
bottom_line,bg_216.png,0,76,806,490,31,70,0,0,0,0,0,0,0,0,0,0,0
