\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_map,bg_142.png,0,16,150,604,779,10,0,0,0,0,0,0,0,0,0,0,0
leaf_left_up,bg_74.png,0,0,63,183,139,35,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_124.png,0,8,99,623,841,15,0,0,0,448,654,0,0,0,0,0,0
bg_title,bg_174.png,0,176,81,305,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_32.png,0,277,91,102,37,20,0,0,0,0,0,0,0,0,0,0,0
btn_qa,btn_115.png,btn_115_s.png,561,82,56,65,20,0,0,0,0,0,0,0,0,0,0,0
bgframe,bg_175.png,0,47,218,545,114,20,0,0,0,0,0,0,0,0,0,0,0
trank,pic_99.png,0,58,196,137,54,25,0,0,0,0,0,0,0,0,0,0,0
nrank,0,0,196,208,76,26,30,0,0,0,0,0,0,0,0,0,0,0
tleft,pic_100.png,0,334,196,137,54,25,0,0,0,0,0,0,0,0,0,0,0
nleft,0,0,476,208,39,26,30,0,0,0,0,0,0,0,0,0,0,0
btn_more,icon_77.png,icon_77_s.png,518,193,58,58,35,0,0,0,0,0,0,0,0,0,0,0
treward,pic_101.png,0,58,258,137,54,25,0,0,0,0,0,0,0,0,0,0,0
gold,icon_69.png,0,199,270,31,30,30,0,0,0,0,0,0,0,0,0,0,0
crystal,icon_70.png,0,195,269,37,34,30,0,0,0,0,0,0,0,0,0,0,0
nreward,0,0,236,270,76,26,35,0,0,0,0,0,0,0,0,0,0,0
btn_get,btn_125.png,btn_125_s.png,311,257,136,58,40,0,0,0,0,0,0,0,0,0,0,0
btn_rank,btn_117.png,btn_117_s.png,447,257,136,58,45,0,0,0,0,0,0,0,0,0,0,0
table,bg_177.png,0,45,335,548,555,50,0,0,0,346,246,0,0,0,0,0,0
bottom_line,bg_178.png,0,50,849,537,32,80,0,0,0,0,0,0,0,0,0,0,0
cell,bg_179.png,0,52,341,533,164,85,0,0,0,0,0,0,0,0,0,0,0
cicon,bg_115.png,0,82,354,130,130,90,0,0,0,0,0,0,0,0,0,0,0
calias,0,0,252,351,323,28,90,0,0,0,0,0,34,11,67,0,0,0,
ctrank,text_33.png,0,253,404,56,26,90,0,0,0,0,0,0,0,0,0,0,0
cnrank,0,0,312,400,95,26,95,0,0,0,0,0,0,0,0,0,0,0
ctrate,text_30.png,0,423,404,57,26,90,0,0,0,0,0,0,0,0,0,0,0
cnrate,0,0,484,400,74,26,95,0,0,0,0,0,0,0,0,0,0,0
ctlv,text_31.png,0,254,451,43,24,90,0,0,0,0,0,0,0,0,0,0,0
cnlv,0,0,312,445,42,26,95,0,0,0,0,0,0,0,0,0,0,0
btn_fight,btn_118.png,btn_118_s.png,421,438,128,52,100,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_83.png,btn_83_s.png,26,105,102,69,60,0,0,0,0,0,0,0,0,0,0,0
leaf_right_down,bg_129.png,0,530,862,110,98,105,0,0,0,0,0,0,0,0,0,0,0
