\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_26.png,0,272,128,104,37,25,0,0,0,0,0,13,8,36,0,0,0
subbar,bg_114.png,0,75,187,490,71,30,0,0,0,0,0,0,0,0,0,0,0
btn_hero,btn_100.png,btn_100_s.png,75,187,114,95,40,0,0,0,0,0,0,0,0,0,0,0
hero_name,0,0,189,199,188,28,40,0,0,0,0,0,34,11,67,0,0,0
type_name,0,0,295,199,188,28,40,0,0,0,0,0,34,11,67,0,0,0
btn_type,btn_101.png,btn_101_s.png,383,189,168,54,45,0,0,0,0,0,0,0,0,0,0,0
table,0,0,81,274,478,602,50,0,0,0,0,0,0,0,0,0,0,0
cell,0,0,81,274,171,602,55,0,0,0,0,0,0,0,0,0,0,0
cframe,bg_154.png,0,91,587,148,228,60,0,0,0,0,0,0,0,0,0,0,0
icon_piece,icon_66.png,0,91,603,59,59,65,0,0,0,0,0,0,0,0,0,0,0
n_piece,0,0,102,639,53,20,70,0,0,0,0,0,0,0,0,0,0,0
bg_price,bg_161.png,0,123,752,116,31,75,0,0,0,0,0,0,0,0,0,0,0
p_gold,icon_69.png,0,119,750,31,30,80,0,0,0,0,0,0,0,0,0,0,0
p_crystal,icon_70.png,0,113,750,37,34,80,0,0,0,0,0,0,0,0,0,0,0
price,0,0,152,754,82,23,85,0,0,0,0,0,0,0,0,0,0,0
btn_merge,btn_102.png,btn_102_s.png,91,819,148,54,90,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
