\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_49.png,0,256,128,136,37,25,0,0,0,0,0,13,8,36,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
bg_stone,bg_182.png,0,78,193,480,669,25,0,0,0,262,322,0,0,0,0,0,0
bg_player,bg_203.png,0,87,206,465,213,30,0,0,0,0,0,0,0,0,0,0,0
icon,bg_115.png,0,101,220,130,130,35,0,0,0,0,0,0,0,0,0,0,0
t_lv,text_40.png,0,119,368,43,24,40,0,0,0,0,0,0,0,0,0,0,0
n_lv,0,0,176,368,45,24,45,0,0,0,0,0,0,0,0,0,0,0
alias,0,0,253,223,235,30,45,0,0,0,0,0,240,240,203,0,0,0
male,icon_82.png,0,498,216,31,46,50,0,0,0,0,0,0,0,0,0,0,0
female,icon_83.png,0,497,217,34,44,50,0,0,0,0,0,0,0,0,0,0,0
vip2,icon_85_s.png,0,252,270,56,55,50,0,0,0,0,0,0,0,0,0,0,0
t_vip2,0,0,311,293,64,22,55,0,0,0,0,0,199,156,252,0,0,0
btn_vip2,btn_135.png,0,378,276,106,53,55,0,0,0,0,0,0,0,0,0,0,0
vip1,icon_85.png,0,252,270,56,55,50,0,0,0,0,0,0,0,0,0,0,0
t_vip1,0,0,311,291,218,24,55,0,0,0,0,0,199,156,252,0,0,0
t_cardnum,text_50.png,0,250,333,98,26,55,0,0,0,0,0,0,0,0,0,0,0
n_cardnum,0,0,349,332,178,27,60,0,0,0,0,0,0,0,0,0,0,0
t_exp,text_51.png,0,250,367,79,26,55,0,0,0,0,0,0,0,0,0,0,0
n_exp,0,0,331,366,200,27,60,0,0,0,0,0,0,0,0,0,0,0
bg_btn,bg_204.png,0,90,416,458,91,65,0,0,0,0,0,0,0,0,0,0,0
btn_replay,btn_137.png,btn_137_s.png,224,419,189,71,70,0,0,0,0,0,0,0,0,0,0,0
bg_sign,bg_205.png,0,86,502,465,155,75,0,0,0,465,155,0,0,0,0,0,0
title_sign,0,0,260,517,122,32,80,0,0,0,0,0,243,240,221,0,0,0
sign,0,0,101,575,432,63,80,0,0,0,0,0,96,166,199,0,0,0
bg_detail,bg_205.png,0,86,655,465,194,85,0,0,0,465,155,0,0,0,0,0,0
title_detail,0,0,260,670,122,32,90,0,0,0,0,0,243,240,221,0,0,0
t_id,text_52.png,0,101,728,31,23,90,0,0,0,0,0,0,0,0,0,0,0
id,0,0,169,725,116,27,95,0,0,0,0,0,0,0,0,0,0,0
t_rate,text_39.png,0,102,762,55,26,90,0,0,0,0,0,0,0,0,0,0,0
rate,0,0,169,760,116,27,95,0,0,0,0,0,0,0,0,0,0,0
t_winrate,text_41.png,0,100,798,57,26,90,0,0,0,0,0,0,0,0,0,0,0
winrate,0,0,169,796,116,27,95,0,0,0,0,0,0,0,0,0,0,0
t_guild,text_53.png,0,321,725,54,27,90,0,0,0,0,0,0,0,0,0,0,0
guild,0,0,382,725,151,27,95,0,0,0,0,0,255,255,255,0,0,0
t_match,text_54.png,0,319,762,102,26,90,0,0,0,0,0,0,0,0,0,0,0
match,0,0,449,760,84,27,95,0,0,0,0,0,0,0,0,0,0,0
t_win,text_55.png,0,319,798,102,26,90,0,0,0,0,0,0,0,0,0,0,0
win,0,0,449,796,84,27,95,0,0,0,0,0,0,0,0,0,0,0
