\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_167.png,0,51,141,540,673,20,0,0,0,344,524,0,0,0,0,,0
bg_title,bg_125.png,0,101,121,435,91,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,239,141,166,41,30,0,0,0,0,0,34,11,67,0,0,0
btn_back,btn_16.png,btn_16_s.png,535,133,69,80,30,0,0,0,0,0,0,0,0,0,0,0
bg_pic,bg_187.png,0,75,222,492,370,30,0,0,0,0,0,0,0,0,0,0,0
frame,bg_189.png,bg_188.png,239,241,160,247,35,0,0,0,0,0,0,0,0,0,0,0
t_stime,text_44.png,0,171,611,156,46,40,0,0,0,0,0,0,0,0,0,0,0
n_stime,0,0,349,607,103,36,40,0,0,0,0,0,0,0,0,0,0,0
t_ctime,text_45.png,0,171,664,156,46,40,0,0,0,0,0,0,0,0,0,0,0
n_ctime,0,0,349,660,103,36,40,0,0,0,0,0,0,0,0,0,0,0
t_reward,text_46.png,0,171,718,156,46,40,0,0,0,0,0,0,0,0,0,0,0
gold,icon_78.png,0,350,716,51,52,40,0,0,0,0,0,0,0,0,0,0,0
crystal,icon_79.png,0,414,716,51,52,40,0,0,0,0,0,0,0,0,0,0,0
