\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
title,text_34.png,0,273,128,101,37,25,0,0,0,0,0,0,0,0,0,0,0
table_bar,0,0,75,187,486,71,30,0,0,0,0,0,0,0,0,0,0,0
cell_bar,bg_180.png,0,86,187,127,76,35,0,0,0,0,0,0,0,0,0,0,0
b_btn,btn_126.png,btn_126_s.png,90,189,121,52,55,0,0,0,0,0,0,0,0,0,0,0
b_btn_t,0,0,103,200,94,28,60,0,0,0,0,0,53,25,94,0,0,0
bg_detail,bg_182.png,0,79,261,481,610,45,0,0,0,262,322,0,0,0,0,0,0
cell,bg_183.png,0,87,269,465,135,50,0,0,0,0,0,0,0,0,0,0,0
table,0,0,87,269,465,508,60,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_171.png,0,92,752,454,25,65,0,0,0,0,0,0,0,0,0,0,0
bg_mine,bg_184.png,0,87,793,463,59,70,0,0,0,0,0,0,0,0,0,0,0
n_mine,0,0,393,801,133,30,75,0,0,0,0,0,0,0,0,0,0,0
cup,icon_38.png,0,116,292,101,90,55,0,0,0,0,0,0,0,0,0,0,0
n_cup,0,0,134,281,65,50,60,0,0,0,0,0,0,0,0,0,0,0
icon_player,bg_131.png,0,252,281,59,59,60,0,0,0,0,0,0,0,0,0,0,0
alias,0,0,322,296,212,25,60,0,0,0,0,0,240,240,203,0,0,0
t_chapter,text_35.png,0,258,355,56,27,60,0,0,0,0,0,0,0,0,0,0,0
n_chapter,0,0,320,355,81,26,60,0,0,0,0,0,0,0,0,0,0,0
t_star,text_36.png,0,413,356,49,25,60,0,0,0,0,0,0,0,0,0,0,0
n_star,0,0,466,355,54,26,60,0,0,0,0,0,0,0,0,0,0,0
t_lv,text_37.png,0,260,355,54,26,60,0,0,0,0,0,0,0,0,0,0,0
n_lv,0,0,319,355,52,26,60,0,0,0,0,0,0,0,0,0,0,0
t_guild_lv,text_37.png,0,250,355,54,26,60,0,0,0,0,0,0,0,0,0,0,0
n_guild_lv,0,0,308,355,49,26,60,0,0,0,0,0,0,0,0,0,0,0
t_guild_member,text_38.png,0,358,355,56,26,60,0,0,0,0,0,0,0,0,0,0,0
n_guild_member,0,0,415,355,126,26,60,0,0,0,0,0,0,0,0,0,0,0
t_point,text_39.png,0,260,355,55,26,60,0,0,0,0,0,0,0,0,0,0,0
n_point,0,0,319,355,186,26,60,0,0,0,0,0,0,0,0,0,0,0
t_arena_lv,text_40.png,0,258,357,43,24,60,0,0,0,0,0,0,0,0,0,0,0
n_arena_lv,0,0,313,357,54,24,60,0,0,0,0,0,0,0,0,0,0,0
t_arena_win,text_41.png,0,393,355,57,26,60,0,0,0,0,0,0,0,0,0,0,0
n_arena_win,0,0,455,355,78,26,60,0,0,0,0,0,0,0,0,0,0,0
t_collect,text_42.png,0,253,355,120,26,60,0,0,0,0,0,0,0,0,0,0,0
n_collect,0,0,375,355,159,26,60,0,0,0,0,0,0,0,0,0,0,0
t_top_tower,text_43.png,0,258,355,101,27,60,0,0,0,0,0,0,0,0,0,0,0
n_top_tower,0,0,361,355,58,27,60,0,0,0,0,0,0,0,0,0,0,0
