\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,155,540,680,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,150,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,130,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,233,150,166,40,30,0,0,0,0,0,251,252,244,57,29,74
frame,bg_162.png,0,72,232,490,559,35,0,0,0,128,128,0,0,0,0,0,0
cell,btn_103.png,btn_103_s.png,79,239,477,63,40,0,0,0,0,0,0,0,0,0,0,0
date,0,0,91,243,77,31,45,0,0,0,0,0,0,0,0,0,0,0
name,0,0,184,252,210,31,50,0,0,0,0,0,252,224,113,0,0,0
gold,icon_69.png,0,416,252,31,31,55,0,0,0,0,0,0,0,0,0,0,0
n_gold,0,0,451,252,93,31,60,0,0,0,0,0,0,0,0,0,0,0
table,0,0,79,239,477,543,50,0,0,0,0,0,0,0,0,0,0,0
