\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_133.png,0,0,0,640,960,5,0,0,0,48,48,0,0,0,0,0,0
light,bg_134.png,0,122,91,388,212,10,0,0,0,0,0,0,0,0,0,0,0
bar,pic_78.png,0,86,212,470,237,20,0,0,0,0,0,0,0,0,0,0,0
l_win,text_8.png,0,269,310,110,54,25,0,0,0,0,0,0,0,0,0,0,0
l_exp,text_9.png,0,258,438,56,27,30,0,0,0,0,0,0,0,0,0,0,0
n_exp,0,0,320,432,66,33,35,0,0,0,0,0,0,0,0,0,0,0
l_gold,text_10.png,0,258,499,56,28,30,0,0,0,0,0,0,0,0,0,0,0
n_gold,0,0,320,495,66,33,35,0,0,0,0,0,0,0,0,0,0,0
l_rate,text_11.png,0,259,562,54,27,30,0,0,0,0,0,0,0,0,0,0,0
n_rate,0,0,320,557,66,33,35,0,0,0,0,0,0,0,0,0,0,0
bg_target,bg_137.png,0,73,507,498,181,40,0,0,0,156,156,0,0,0,0,0,0
tg_1_done,pic_79.png,0,509,544,30,28,50,0,0,0,0,0,0,0,0,0,0,0
tg_1_not,pic_80.png,0,509,544,30,28,50,0,0,0,0,0,0,0,0,0,0,0
tg_2_done,pic_79.png,0,509,583,30,28,50,0,0,0,0,0,0,0,0,0,0,0
tg_2_not,pic_80.png,0,509,583,30,28,50,0,0,0,0,0,0,0,0,0,0,0
tg_3_done,pic_79.png,0,509,630,30,28,50,0,0,0,0,0,0,0,0,0,0,0
tg_3_not,pic_80.png,0,509,630,30,28,50,0,0,0,0,0,0,0,0,0,0,0
tg_1_n,0,0,103,549,23,26,45,0,0,0,0,0,0,0,0,0,0,0
tg_1,0,0,130,549,430,26,45,0,0,0,0,0,215,231,252,0,0,0
tg_2_n,0,0,103,591,23,26,45,0,0,0,0,0,0,0,0,0,0,0
tg_2,0,0,130,591,430,26,45,0,0,0,0,0,215,231,252,0,0,0
tg_3_n,0,0,103,634,23,26,45,0,0,0,0,0,0,0,0,0,0,0
tg_3,0,0,130,634,430,26,45,0,0,0,0,0,215,231,252,0,0,0
btn_next,btn_90.png,btn_90_s.png,243,705,155,73,55,0,0,0,0,0,0,0,0,0,0,0
light_lose,bg_138.png,0,123,124,388,212,10,0,0,0,0,0,0,0,0,0,0,0
pic_grave,bg_139.png,0,232,168,184,174,15,0,0,0,0,0,0,0,0,0,0,0
bar_lose,bg_140.png,0,86,315,457,188,20,0,0,0,0,0,0,0,0,0,0,0
l_lose,text_12.png,0,269,326,110,54,25,0,0,0,0,0,0,0,0,0,0,0
bg_improve,bg_137.png,0,158,477,332,102,30,0,0,0,156,156,0,0,0,0,0,0
t_improve,text_13.png,0,223,514,167,28,35,0,0,0,0,0,0,0,0,0,0,0
arrow_improve,pic_81.png,0,389,510,39,35,40,0,0,0,0,0,0,0,0,0,0,0
btn_next_lose,btn_90.png,btn_90_s.png,243,597,155,73,55,0,0,0,0,0,0,0,0,0,0,0
light_draw,bg_141.png,0,120,194,388,212,10,0,0,0,0,0,0,0,0,0,0,0
bar_draw,pic_82.png,0,86,302,470,147,15,0,0,0,0,0,0,0,0,0,0,0
l_draw,text_14.png,0,268,311,111,52,20,0,0,0,0,0,0,0,0,0,0,0
btn_next_draw,btn_90.png,btn_90_s.png,243,511,155,73,55,0,0,0,0,0,0,0,0,0,0,0
star_1,pic_83.png,0,165,215,107,107,15,0,0,0,0,0,0,0,0,0,0,0
star_2,pic_84.png,0,256,183,129,125,20,0,0,0,0,0,0,0,0,0,0,0
star_3,pic_85.png,0,376,213,105,108,25,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_125.png,0,107,132,435,91,10,0,0,0,0,0,0,0,0,0,0,0
title,0,0,241,155,172,36,15,0,0,0,0,0,160,40,15,0,0,0
box1,pic_86.png,0,102,307,227,207,15,0,0,0,0,0,0,0,0,0,0,0
box1_light,bg_143.png,0,20,192,396,413,20,0,0,0,0,0,0,0,0,0,0,0
box1_laser,bg_144.png,0,0,206,420,228,25,0,0,0,0,0,0,0,0,0,0,0
item1_pic,icon_49.png,0,146,308,127,130,30,0,0,0,0,0,0,0,0,0,0,0
item1_t,text_16.png,0,143,262,56,28,30,0,0,0,0,0,0,0,0,0,0,0
item1_n,0,0,202,255,70,36,30,0,0,0,0,0,0,0,0,0,0,0
box2,pic_86.png,0,358,307,227,207,15,0,0,0,0,0,0,0,0,0,0,0
box2_light,bg_143.png,0,277,192,396,413,20,0,0,0,0,0,0,0,0,0,0,0
box2_laser,bg_144.png,0,251,206,420,228,25,0,0,0,0,0,0,0,0,0,0,0
item2_pic,icon_50.png,0,404,308,127,130,30,0,0,0,0,0,0,0,0,0,0,0
item2_t,text_17.png,0,402,263,56,28,30,0,0,0,0,0,0,0,0,0,0,0
item2_n,0,0,458,255,70,36,30,0,0,0,0,0,0,0,0,0,0,0
box3,pic_86.png,0,102,601,227,207,15,0,0,0,0,0,0,0,0,0,0,0
box3_light,bg_143.png,0,20,486,396,413,20,0,0,0,0,0,0,0,0,0,0,0
box3_laser,bg_144.png,0,0,501,420,228,25,0,0,0,0,0,0,0,0,0,0,0
item3_pic,icon_51.png,0,146,602,127,130,30,0,0,0,0,0,0,0,0,0,0,0
item3_t,text_18.png,0,145,557,52,27,30,0,0,0,0,0,0,0,0,0,0,0
item3_n,0,0,202,550,70,36,30,0,0,0,0,0,0,0,0,0,0,0
box4,pic_86.png,0,358,601,227,207,15,0,0,0,0,0,0,0,0,0,0,0
box4_light,bg_143.png,0,277,486,396,413,20,0,0,0,0,0,0,0,0,0,0,0
box4_laser,bg_144.png,0,251,500,420,228,25,0,0,0,0,0,0,0,0,0,0,0
item4_pic,icon_52.png,0,404,602,127,130,30,0,0,0,0,0,0,0,0,0,0,0
item4_t,text_19.png,0,401,557,54,28,30,0,0,0,0,0,0,0,0,0,0,0
item4_n,0,0,459,550,70,36,30,0,0,0,0,0,0,0,0,0,0,0
