\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_200.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_199.png,0,134,15,377,81,10,0,0,0,0,0,0,0,0,0,0,0
title,text_48.png,0,206,42,233,37,15,0,0,0,0,0,0,0,0,0,0,0
stone,bg_201.png,0,0,276,640,442,20,0,0,0,0,0,0,0,0,0,0,0
area_center,0,0,134,108,373,501,25,0,0,0,0,0,0,0,0,0,0,0
area_right,0,0,384,76,186,288,25,0,0,0,0,0,0,0,0,0,0,0
area_left,0,0,68,76,186,288,25,0,0,0,0,0,0,0,0,0,0,0
arrow_left,btn_84.png,btn_84_s.png,40,272,57,75,30,0,0,0,0,0,0,0,0,0,0,0
arrow_right,btn_85.png,btn_85_s.png,553,272,57,75,30,0,0,0,0,0,0,0,0,0,0,0
frame,bg_202.png,0,47,653,540,211,35,0,0,0,0,0,0,0,0,0,0,0
t_name,0,0,100,692,87,39,40,0,0,0,0,0,255,255,255,59,20,72
bg_name,bg_197.png,0,178,681,194,63,45,0,0,0,63,63,0,0,0,0,0,0
name,0,0,194,697,206,27,50,0,0,0,0,0,231,247,253,0,0,0
tip_name,0,0,186,747,214,28,50,0,0,0,0,0,0,0,0,0,0,0
t_sex,0,0,100,790,87,39,40,0,0,0,0,0,255,255,255,59,20,72
toggle_male,btn_131.png,btn_131_s.png,182,785,53,53,45,1,0,0,0,0,0,0,0,0,0,0
male,icon_82.png,0,240,790,30,46,50,0,0,0,0,0,0,0,0,0,0,0
toggle_female,btn_131.png,btn_131_s.png,327,785,53,53,45,1,0,0,0,0,0,0,0,0,0,0
female,icon_83.png,0,385,790,34,44,50,0,0,0,0,0,0,0,0,0,0,0
btn_next,btn_132.png,btn_132_s.png,248,866,155,73,55,0,0,0,0,0,0,0,0,0,0,0
t_next,0,0,293,884,66,30,60,0,0,0,0,0,21,9,2,0,0,0
dice,icon_84.png,icon_84_s.png,472,675,80,75,60,0,0,0,0,0,0,0,0,0,0,0
