\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,155,540,680,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,150,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,130,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,264,150,106,40,30,0,0,0,0,0,251,252,244,57,29,74
cell,bg_168.png,0,71,233,493,158,55,0,0,0,276,142,0,0,0,0,0,0
icon,bg_115.png,0,82,243,130,130,60,0,0,0,0,0,0,0,0,0,0,0
bg_alias,bg_156.png,0,219,243,334,64,65,0,0,0,64,64,0,0,0,0,0,0
alias,0,0,231,255,307,31,70,0,0,0,0,0,252,224,113,0,0,0
pos,0,0,223,329,106,38,75,0,0,0,0,0,246,44,59,0,0,0
btn_kick,btn_160.png,btn_160_s.png,436,319,123,64,85,0,0,0,0,0,0,0,0,0,0,0
bg_kick,bg_170.png,0,415,317,147,69,80,0,0,0,0,0,0,0,0,0,0,0
table,0,0,71,233,493,521,90,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_216.png,0,72,723,490,31,95,0,0,0,0,0,0,0,0,0,0,0
btn_start,btn_147.png,btn_147_s.png,208,764,224,54,100,0,0,0,54,54,255,255,255,40,78,8
t_wait,0,0,213,768,216,36,105,0,0,0,0,0,255,255,255,96,71,122
