\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_121.png,0,48,107,540,780,10,0,0,0,404,260,0,0,0,0,0,0
btn_back,btn_16.png,btn_16_s.png,522,102,69,80,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_196.png,0,163,82,304,87,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,264,101,106,40,30,0,0,0,0,0,251,252,244,57,29,74
btn_return,btn_138.png,btn_138_s.png,75,104,80,80,35,0,0,0,0,0,0,0,0,0,0,0
cell,bg_168.png,0,71,186,493,189,55,0,0,0,276,142,0,0,0,0,0,0
icon,bg_115.png,0,83,197,130,130,60,0,0,0,0,0,0,0,0,0,0,0
online,0,0,106,331,80,29,65,0,0,0,0,0,26,224,247,0,0,0
offline,0,0,106,331,80,29,65,0,0,0,0,0,100,100,100,0,0,0
bg_alias,bg_156.png,0,219,197,332,55,70,0,0,0,64,64,0,0,0,0,0,0
alias,0,0,231,209,258,27,75,0,0,0,0,0,252,224,113,0,0,0
lv,text_40.png,0,228,270,43,24,80,0,0,0,0,0,0,0,0,0,0,0
n_lv,0,0,278,264,54,27,85,0,0,0,0,0,0,0,0,0,0,0
bg_add,bg_170.png,0,415,301,147,69,90,0,0,0,0,0,0,0,0,0,0,0
btn_add,btn_114.png,btn_114_s.png,436,303,123,64,90,0,0,0,0,0,12,61,25,0,0,0
table,0,0,71,186,493,669,90,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_216.png,0,72,824,490,31,95,0,0,0,0,0,0,0,0,0,0,0
