\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_25.png,0,254,128,136,37,25,0,0,0,0,0,13,8,36,0,0,0
bg_subt,bg_114.png,0,75,187,490,71,30,0,0,0,0,0,0,0,0,0,0,0
subt,0,0,90,200,125,32,35,0,0,0,0,0,34,11,67,0,0,0
table,0,0,86,262,469,510,40,0,0,0,0,0,0,0,0,0,0,0
cell,0,0,86,262,172,510,45,0,0,0,0,0,0,0,0,0,0,0
cframe,0,0,97,274,148,228,50,0,0,0,0,0,0,0,0,0,0,0
ccount,0,0,131,448,83,43,55,0,0,0,0,0,0,0,0,0,0,0
tab_collect,pic_92.png,0,98,787,133,46,55,0,0,0,0,0,0,0,0,0,0,0
bar,bg_157.png,0,235,800,304,30,55,0,0,0,0,0,0,0,0,0,0,0
percent,0,0,355,797,64,26,65,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
pbg,bg_121.png,0,48,337,540,288,10,0,0,0,404,260,0,0,0,0,0,0
pback,btn_16.png,btn_16_s.png,522,332,69,80,15,0,0,0,0,0,0,0,0,0,0,0
pframe,bg_154.png,0,81,365,148,228,20,0,0,0,0,0,0,0,0,0,0,0
ptip,pic_90.png,0,247,365,156,46,25,0,0,0,0,0,0,0,0,0,0,0
pline1,btn_99.png,btn_99_s.png,245,416,290,60,30,0,0,0,0,0,0,0,0,0,0,0
pnum1,0,0,257,425,51,29,35,0,0,0,0,0,0,0,0,0,0,0
pchapter1,0,0,316,425,201,29,40,0,0,0,0,0,255,255,255,36,69,8
pline2,btn_99.png,btn_99_s.png,245,478,290,60,30,0,0,0,0,0,0,0,0,0,0,0
pnum2,0,0,257,487,51,29,35,0,0,0,0,0,0,0,0,0,0,0
pchapter2,0,0,316,487,201,29,40,0,0,0,0,0,255,255,255,36,69,8
pline3,btn_99.png,btn_99_s.png,245,540,290,60,30,0,0,0,0,0,0,0,0,0,0,0
pnum3,0,0,257,549,51,29,35,0,0,0,0,0,0,0,0,0,0,0
pchapter3,0,0,316,549,201,29,40,0,0,0,0,0,255,255,255,36,69,8
