\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_124.png,0,8,99,623,841,30,0,0,0,448,654,0,0,0,0,0,0
leaf_left_up,bg_74.png,0,0,63,183,139,35,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_83.png,btn_83_s.png,26,105,102,69,40,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_125.png,0,144,66,435,91,40,0,0,0,0,0,0,0,0,0,0,0
title,0,0,211,90,308,35,45,0,0,0,0,0,160,40,15,0,0,0
map,bg_127.png,0,26,172,574,742,25,0,0,0,0,0,0,0,0,0,0,0
bg_map,bg_142.png,0,16,150,604,779,20,0,0,0,0,0,0,0,0,0,0,0
name,0,0,245,176,335,43,35,0,0,0,0,0,240,244,251,54,40,89
slogan,0,0,86,242,321,61,35,0,0,0,0,0,250,255,119,147,6,6
bg_desc,bg_130.png,0,81,222,516,276,30,0,0,0,0,0,0,0,0,0,0,0
star1,pic_70.png,0,95,317,39,38,35,0,0,0,0,0,0,0,0,0,0,0
star2,pic_70.png,0,138,317,39,38,35,0,0,0,0,0,0,0,0,0,0,0
star3,pic_70.png,0,183,317,39,38,35,0,0,0,0,0,0,0,0,0,0,0
line1,0,0,130,370,299,23,40,0,0,0,0,0,248,248,241,0,0,0
line1_done,pic_79.png,0,430,365,30,28,50,0,0,0,0,0,0,0,0,0,0,0
line1_not,pic_80.png,0,430,365,30,28,50,0,0,0,0,0,0,0,0,0,0,0
line2,0,0,130,399,299,23,40,0,0,0,0,0,248,248,241,0,0,0
line2_done,pic_79.png,0,430,365,30,28,50,0,0,0,0,0,0,0,0,0,0,0
line2_not,pic_80.png,0,430,365,30,28,50,0,0,0,0,0,0,0,0,0,0,0
line3,0,0,130,430,299,23,40,0,0,0,0,0,248,248,241,0,0,0
line3_done,pic_79.png,0,430,365,30,28,50,0,0,0,0,0,0,0,0,0,0,0
line3_not,pic_80.png,0,430,365,30,28,50,0,0,0,0,0,0,0,0,0,0,0
bg_power,bg_120.png,0,81,469,472,76,45,0,0,0,472,99,0,0,0,0,0,0
tab_power,pic_72.png,0,92,480,137,54,50,0,0,0,0,0,0,0,0,0,0,0
n_power,0,0,240,488,33,31,50,0,0,0,0,0,171,3,3,0,0,0
icon_chicken,icon_48.png,0,280,488,29,35,50,0,0,0,0,0,0,0,0,0,0,0
bg_reward,bg_120.png,0,81,550,472,76,45,0,0,0,472,99,0,0,0,0,0,0
tab_reward,pic_73.png,0,92,562,137,54,50,0,0,0,0,0,0,0,0,0,0,0
cell_reward,bg_131.png,0,240,558,59,59,50,0,0,0,0,0,0,0,0,0,0,0
table_reward,0,0,240,558,280,59,50,0,0,0,0,0,0,0,0,0,0,0
bg_tool,bg_120.png,0,81,631,472,76,45,0,0,0,472,99,0,0,0,0,0,0
tab_tool,pic_74.png,0,92,643,137,54,50,0,0,0,0,0,0,0,0,0,0,0
table_tool,0,0,240,640,130,59,50,0,0,0,0,0,0,0,0,0,0,0
cell_tool,bg_131.png,0,240,640,59,59,50,0,0,0,0,0,0,0,0,0,0,0
btn_buy,btn_86.png,btn_86_s.png,404,637,123,64,50,0,0,0,0,0,0,0,0,0,0,0
btn_charge,btn_127.png,btn_127_s.png,404,637,123,64,50,0,0,0,0,0,0,0,0,0,0,0
bg_free,bg_132.png,0,81,732,303,126,45,0,0,0,0,0,0,0,0,0,0,0
n_free,0,0,275,746,35,31,50,0,0,0,0,0,0,0,0,0,0,0
btn_rob_3,btn_87.png,btn_87_s.png,100,789,128,60,50,0,0,0,0,0,0,0,0,0,0,0
btn_rob,btn_88.png,btn_88_s.png,237,789,128,60,50,0,0,0,0,0,0,0,0,0,0,0
btn_go,btn_89.png,btn_89_s.png,401,712,166,166,50,0,0,0,0,0,0,0,0,0,0,0
btn_dialog,btn_161.png,btn_161_s.png,43,188,169,54,50,0,0,0,0,0,0,0,0,0,0,0
leaf_right_down,bg_129.png,0,530,862,110,98,50,0,0,0,0,0,0,0,0,0,0,0
