\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,75,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
bg,bg_112.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_wall,bg_110.png,0,0,0,640,960,10,0,0,0,531,611,0,0,0,0,0,0
bg_frame,bg_111.png,0,50,83,542,820,15,0,0,0,473,680,0,0,0,0,0,0
bg_title,bg_113.png,0,188,117,267,65,20,0,0,0,0,0,0,0,0,0,0,0
title,text_56.png,0,282,129,85,36,25,0,0,0,0,0,0,0,0,0,0,0
btn_back,btn_81.png,btn_81_s.png,50,107,115,101,60,0,0,0,0,0,0,0,0,0,0,0
outframe,bg_122.png,0,69,181,497,685,20,0,0,0,130,130,0,0,0,0,0,0
bg_alias,bg_210.png,0,86,193,471,56,25,0,0,0,0,0,0,0,0,0,0,0
alias,0,0,183,205,282,29,30,0,0,0,0,0,255,255,255,0,0,0
cell,bg_211.png,0,78,254,486,164,35,0,0,0,0,0,0,0,0,0,0,0
cicon,bg_115.png,0,108,267,130,130,40,0,0,0,0,0,0,0,0,0,0,0
cname,0,0,276,263,228,26,45,0,0,0,0,0,0,0,0,0,0,0
cdraw,icon_22.png,0,510,242,54,68,50,0,0,0,0,0,0,0,0,0,0,0
close,icon_23.png,0,510,242,54,68,50,0,0,0,0,0,0,0,0,0,0,0
cwin,icon_24.png,0,510,242,54,68,50,0,0,0,0,0,0,0,0,0,0,0
time,0,0,273,311,250,30,55,0,0,0,0,0,0,0,0,0,0,0
lv,text_31.png,0,280,364,43,24,60,0,0,0,0,0,0,0,0,0,0,0
n_lv,0,0,336,363,39,26,65,0,0,0,0,0,0,0,0,0,0,0
btn_play,btn_141.png,btn_141_s.png,424,348,128,52,70,0,0,0,0,0,0,0,0,0,0,0
table,0,0,78,254,486,613,75,0,0,0,0,0,0,0,0,0,0,0
fade_bottom,bg_123.png,0,76,830,489,37,80,0,0,0,0,0,0,0,0,0,0,0
